MethodName,Documentation,Code
get_greatest_common_divisor,"Computes the greatest common divisor of two numbers using the Euclidean algorithm.

@param a The first number.
@param b The second number.","int get_greatest_common_divisor(int a, int b) { while (b != 0) { int temp = b; b = a % b; a = temp; } return abs(a); }"
calculate_pi,"Calculates the value of pi using the Bailey–Borwein–Plouffe formula.

@param iterations The number of iterations to perform.","double calculate_pi(int iterations) { double sum = 0.0; for (int k = 0; k < iterations; ++k) { sum += (1 / pow(16, k)) * ((4 / (8 * k + 1)) - (2 / (8 * k + 4)) - (1 / (8 * k + 5)) - (1 / (8 * k + 6))); } return sum * 4; }"
sort_array,"Sorts an array of integers in ascending order using the quicksort algorithm.

@param arr The array to be sorted.","void sort_array(int* arr, int size) { if (size <= 1) return; int pivot = arr[size / 2]; int left = 0; int right = size - 1; while (left <= right) { while (arr[left] < pivot) ++left; while (arr[right] > pivot) --right; if (left <= right) { int temp = arr[left]; arr[left] = arr[right]; arr[right] = temp; ++left; --right; } } sort_array(arr, left); sort_array(arr + left + 1, right); }"
maxValueCalculator,"Calculates the maximum value from a list of integers.

*Time Complexity:* O(n)
*Space Complexity:* O(1)","int maxValueCalculator(vector<int> numbers) {
	int max_val = numbers[0];
	for (int num : numbers) {
		if (num > max_val) max_val = num;
	}
	return max_val;
}"
convertToTitle,"Converts a number to its corresponding title.

*Example:* convertToTitle(1) returns 'One'.

*Time Complexity:* O(n)
*Space Complexity:* O(1)","string convertToTitle(int n) {
	switch (n) {
	case 1: return ""One"";
	case 2: return ""Two"";
	case 3: return ""Three"";
	case 4: return ""Four"";
	case 5: return ""Five"";
	}
	return ""Invalid Input"";
}"
mergeSortedArrays,"Merges two sorted arrays into a single sorted array.

*Example:* mergeSortedArrays({1, 3, 5}, {2, 4, 6}) returns {1, 2, 3, 4, 5, 6}.

*Time Complexity:* O(n + m)
*Space Complexity:* O(n + m)","vector<int> mergeSortedArrays(vector<int>& arr1, vector<int>& arr2) {
	vector<int> merged;
	auto it1 = begin(arr1);
	auto it2 = begin(arr2);
	while (it1 != end(arr1) && it2 != end(arr2)) {
		merged.push_back(min(*it1, *it2));
		advance(it1, 1);
		advance(it2, 1);
	}
	auto it3 = begin(arr1) + (it1 == end(arr1)?0:distance(begin(arr1), it1));
	auto it4 = begin(arr2) + (it2 == end(arr2)?0:distance(begin(arr2), it2));
	merge(it3, it4, end(merged), end(arr1)+distance(begin(arr1), it1), end(arr2)+distance(begin(arr2), it2));
	return merged;
}"
maxElementInArray,Finds the maximum element in an array of integers.,"int maxElementInArray(int arr[], int size) { 
    int max = arr[0]; 
    for (int i = 1; i < size; i++) {
        if (arr[i] > max) { 
            max = arr[i];
        }
    } 
    return max;
}"
convertToTitleCase,Converts a string to title case.,"string convertToTitleCase(string str) {
    for (int i = 0; i < str.length(); i++) {
        if (i == 0 || str[i - 1] == ' ') { 
            str[i] = toupper(str[i]);
        } else { 
            str[i] = tolower(str[i]);
        }
    }
    return str;
}"
findFirstOccurrence,Finds the index of the first occurrence of a character in a string.,"int findFirstOccurrence(string str, char c) { 
    int i = 0; 
    while (i < str.length()) {
        if (str[i] == c) {
            return i;
        }
        i++;
    } 
    return -1;
}"
max_element,/**\n * Finds the maximum element in a container.\n *\n * This function returns an iterator pointing to the first element of the sequence with value greater than or equal to all other elements.\n *\n * @param range The range of elements in which to search for the maximum.\n * @return An iterator pointing to the first element with the maximum value.\n */,"\ntemplate <typename T>\nT max_element(T begin, T end) {\n  if (begin == end)\n    return *begin;\n  \n  T max = *begin;\n  \n  for (++begin; begin != end; ++begin) {\n    if (*begin > max)\n      max = *begin;\n  }\n  \n  return max;\n}\n"
